AvgRequestNo,AvgTimeBetwReq,AvgTimeBetwRespReq,AvgDataRate,AvgPacketNo,AvgPacketSize,AvgConcurrentReq,MaxReq,AvgDuration,Class
0.611,0.517,0,0.011,11.633,113.066,25,367,483.229,slowloris
0.45,2.191,0,0.01,11.299,109.609,26,405,652.944,slowloris
0.373,2.711,0,0.01,11.178,108.367,30,447,793.704,slowloris
0.767,1.308,0,0.018,14.404,154.254,131.296,690,425.727,slowloris
1.152,0.87,0,0.024,17.03,175.473,221.233,691,226.42,slowloris
0.997,1.007,0,0.024,16.816,175.498,278.467,897,343.128,slowloris
0.898,1.114,0,0.023,16.68,173.025,277.278,1077,377.753,slowloris
1.43,0.702,0,0.031,19.665,195.546,396.1,858,203.038,slowloris
1.251,0.827,0,0.032,20.067,198.316,626.606,1501,321.07,slowloris
1.467,0.688,0,0.032,20.822,192.677,374.012,80,257.781,slowloris
1.41,0.71,0,0.034,21.307,200.684,637.736,1269,277.098,slowloris
1.435,0.697,0,0.031,19.978,194.129,369.682,861,260.228,slowloris
1.371,0.733,0,0.033,21.071,197.725,565.321,1234,282.378,slowloris
1.373,0.687,0,0.034,20.926,202.129,623.704,1373,274.41,slowloris
1.389,0.722,0,0.034,21.247,198.602,562.104,1250,280.166,slowloris
1.488,0.673,0,0.033,20.928,194.829,391.965,893,254.92136,slowloris
1.423,0.704,0,0.035,21.299,201.125,626.5,1281,275.499,slowloris
1.587,0.632,0,0.035,21.995,199.584,501.172,952,245.823,slowloris
1.464,0.704,0,0.036,22.164,201.978,613.132,1318,276.975,slowloris
1.552,0.659,0,0.034,21.787,197.167,462.895,931,252.544,slowloris
1.489,0.682,0,0.036,22.491,202.592,657.886,1340,270.657,slowloris
1.638,0.615,0,0.036,22.533,202.216,513.11,983,241.716,slowloris
1.497,0.674,0,0.037,22.447,203.773,647.022,1347,268.7,slowloris
1.668,0.601,0,0.036,21.08,214.828,517.46,1001,239.535,slowloris
1.592,0.629,0,0.039,23.374,208.301,729.74,1433,257.86,slowloris
1.003,0.999,0,0.018,11.153,197.898,136.2,602,331.434,slowloris
1.245,0.82,0,0.024,13.985,214.33,252.19,747,291.671,slowloris
1.365,0.747,0,0.027,15.315,220.961,351.293,819,274.1,slowloris
1.513,0.665,0,0.031,16.795,228.805,461.547,908,253.995,slowloris
1.442,0.707,0,0.029,15.973,225.49,325.743,865,263.507,slowloris
1.57,0.639,0,0.032,17.213,232.559,491.945,942,248.267,slowloris
1.532,0.654,0,0.031,16.795,230.948,425.535,919,250.95,slowloris
1.587,0.631,0,0.032,17.367,223.199,475.825,952,245.425,slowloris
1.635,0.614,0,0.034,18.003,234.834,503.357,981,242.264,slowloris
0.918,1.095,0,0.015,8.542,212.427,117.378,551,352.978,slowloris
1.16,0.892,0,0.021,11.328,229.136,209.19,696,308.333,slowloris
1.273,0.795,0,0.023,12.23,240.001,231.22,764,284.758,slowloris
1.377,0.728,0,0.026,13.613,241.482,315.497,826,269.64,slowloris
1.545,0.669,0,0.03,15.342,248.01,407.202,927,254.99,slowloris
1.45,0.693,0,0.028,14.278,245.272,363.838,870,260.076,slowloris
1.357,0.739,0,0.029,14.984,245.97,536.752,1221,284.536,slowloris
1.453,0.693,0,0.028,14.418,244.091,418.065,872,260.41,slowloris
1.593,0.641,0,0.032,15.925,248.834,465.325,956,248.768,slowloris
1.871,0.52,0.206,0.022,22.703,121.306,597.403,2315,165.349,slowloris
1.565,0.626,0.607,0.023,17.762,165.184,732.553,2970,169.757,slowloris
2.693,0.377,0.41,0.02,15.9025,155.665,308.406,1381,96.939,slowloris
3.172,0.316,0.223,0.018,16.748,132.043,437.083,2187,88.263,slowloris
3.214,0.297,0.068,0.019,17.825,130.849,2.948,236,97.366,slowloris
4.654,0.215,0.188,0.017,16.22,133.175,4.556,206,64.269,slowloris
24.677,0.038,4.681,2.805,268.301,1306.993,20.196,87,2.553,slowloris
25.382,0.038,4.681,2.885,275.974,1306.959,20.773,87,2.454,slowloris
16.152,0.038,4.681,1.836,175.611,1307.021,13.219,87,2.59,slowloris
22.485,0.038,0.806,2.519,242.586,1298.164,18.232,76,4.519,slowloris
22.059,0.042,2.665,2.534,242.44,1306.664,18.507,86,2.325,slowloris
23.22,0.043,2.665,2.668,255.257,1306.391,19.481,86,2.404,slowloris
19.005,0.049,0.199,2.334,224.284,1301.148,16.401,65,6.556,slowloris
17.004,0.038,0.876,2.763,264.681,1305.104,17.933,69,3.32,slowloris
21.1,0.047,0.006,0.116,17.333,835.7884,12.25,31,0.084,slowloris
20.042,0.048,0.798,2.381,229.809,1294.836,17.232,76,3.019,slowloris
20.519,0.048,0.798,2.436,234.876,1296.571,17.642,76,3.262,slowloris
17.954,0.048,0.797,2.131,205.113,1298.509,15.437,76,0.312,slowloris
16.224,0.062,0.006,1.841,177.299,1298.184,13.537,76,2.361,slowloris
11.502,0.087,1.185,1.358,130.159,1304.13,19.213,87,1.453,slowloris
23.028,0.043,3.719,2.674,255.428,1308.431,12.25,31,0.084,slowloris
26.109,0.038,4.685,2.97,284.058,1307.099,21.371,87,2.59,slowloris
5.262,0.184,1.909,1.133,105.815,1338.945,3.722,76,5.626,slowloris
2.236,0.179,0.331,0.627,56.817,1380.434,1.41,66,0.35,slowloris
5.167,0.193,1.656,1.436,132.39,1356.67,3.6955,76,2.812,slowloris
5.482,0.182,1.641,1.516,139.183,1361.917,4.021,76,2.116,slowloris
1.951,0.531,0.427,0.038,18.351,262.029,2.423,217,576.748,slowloris
1.317,0.781,0.567,0.033,16.526,250.107,1.546,215,200.007,slowloris
7.112,0.781,0.567,0.054,36.956,181.707,8.346,215,200.007,slowloris
0.948,0.53,0.426,0.019,10.641,228.63,1.099,215,602.06,slowloris
1.743,0.593,0.794,0.031,15.028,254.83,2.2,277,375.084,slowloris
0.512,1.012,1.261,0.008,6.947,141.952,0.727,277,391.125,slowloris
0.386,1.642,2.869,0.009,6.613,161.332,0.388,181,664.618,slowloris
1.744,0.586,0.408,0.041,22.773,225.271,2.146,244,200.014,slowloris
1.307,0.636,0.497,0.028,16.353,214.755,1.524,241,573.706,slowloris
1.152,0.807,0.892,0.023,12.987,224.98,1.497,157,565.156,slowloris
1.547,0.638,0.606,0.032,17.22,232.356,2.045,241,764.584,slowloris
1.115,0.898,0.508,0.021,10.361,255.688,1.486,269,593.199,slowloris
1.427,0.682,0.383,0.034,15.302,275.689,1.46,49,138.77,slowloris
1.69,0.606,0.441,0.033,15.787,260.456,2.175,204,515.626,slowloris
1.124,0.876,0.682,0.03,23.668,160.376,1.408,109,661.979,slowloris
1.483,0.554,0.647,0.026,13.145,250.125,1.753,273,346.686,slowloris
1.471,0.682,0.435,0.037,17.378,269.403,1.727,263,253.854,slowloris
0.601,0.687,1.027,0.01,5.825,213.382,0.745,201,1300,slowloris
0.77,1.033,1.005,0.008,5.079,205.134,0.806,273,900,slowloris
0.657,0.866,1.577,0.008,4.794,213.574,1.039,250,269.919,slowloris
0.549,1.816,1.012,0.01,6.664,192.902,0.767,269,574.024,slowloris
0.982,0.952,0.571,0.014,8.989,198.846,1.149,202,234.86,slowloris
1.172,0.87,0.541,0.028,13.768,256.048,1.411,291,19.538,slowloris
0.691,1.41,4.114,0.004,2.398,195.779,0.913,240,423.038,slowloris
0.248,4.019,2.244,0.006,7.575,100.027,0.431,278,717.99,slowloris
0.53,1.974,0.918,0.013,13.724,119.658,0.661,243,761.189,slowloris
0.438,2.212,2.639,0.004,2.77,200.821,0.442,277,328.692,slowloris
0.751,0.64,3.106,0.007,3.954,214.43,1.025,222,208.72,slowloris
1.497,0.666,0.657,0.03,14.014,265.041,2.101,219,555.008,slowloris
1.724,0.58,0.372,0.028,15.848,217.726,1.854,198,334.068,slowloris
1.501,0.5,0.483,0.027,13.233,257.39,1.723,201,325.378,slowloris
0.984,0.77,0.731,0.015,9.389,200.813,1.177,279,346.018,slowloris
0.848,1.076,0.816,0.015,9.42,202.315,1.107,278,435.02,slowloris
0.506,1.929,1.988,0.013,10.032,156.54,0.697,199,1443.754,slowloris
0.238,4.208,7.398,0.008,8.133,116.864,0.362,240,184.622,slowloris
0.486,2.029,1.738,0.013,10.219,153.094,0.566,200,1581.606,slowloris
0.734,1.265,2.098,0.013,6.536,250.992,0.858,271,929.435,slowloris
0.379,2.397,3.134,0.005,2.867,196.466,0.544,274,559.648,slowloris
0.932,1.006,2.212,0.012,6.201,238.269,0.892,262,223.655,slowloris
0.945,1.023,2.067,0.01,5.473,239.569,1.023,213,320.393,slowloris
0.746,0.376,0.468,0.007,3.61,252.736,0.908,226,166.795,slowloris
0.222,0.069,0.685,0.001,0.896,134.443,0.326,129,605.171,slowloris
0.419,2.355,2.014,0.002,1.305,220.664,0.528,264,126.971,slowloris
0.333,0.001,0.003,0.001,0.67,189.303,0.333,100,300.254,slowloris
0.462,1.796,8.646,0.001,0.928,189.173,0.802,193,241.803,slowloris
1.252,0.343,0.331,0.014,6.728,260.943,1.508,206,264.932,slowloris
0.318,2.953,2.996,0.002,1.579,173.937,0.481,101,754.527,slowloris
0.475,2.089,3.268,0.008,4.285,246.29,0.618,266,1135.276,slowloris
6.753,0.147,0.114,0.018,7.977,277.084,8.167,222,2.809,slowloris
6.773,0.147,0.128,0.019,8.32,281.581,8.627,132,3.008,slowloris
6.47,0.154,0.146,0.019,8.27,288.459,8.027,102,3.623,slowloris
6.223,0.161,0.157,0.018,8.097,279.794,8.13,108,5.089,slowloris
6.92,0.144,0.128,0.019,8.537,284.283,8.333,102,2.695,slowloris
6.047,0.165,0.17,0.017,7.647,284.643,8.133,110,1.759,slowloris
6.467,0.154,0.163,0.019,8.167,284.458,8.197,131,1.742,slowloris
6.227,0.161,0.152,0.018,7.977,285.821,7.953,114,1.562,slowloris
6.69,0.149,0.123,0.019,8.433,284.479,7.763,110,1.997,slowloris
13.607,0.073,0.062,0.038,14.57,323.755,15.03,204,1.229,slowloris
6.429,0.153,0.173,0.015,6.429,290.363,7.381,36,0.713,slowloris
6.52,0.153,0.125,0.018,8.12,277.292,7.93,249,5.54,slowloris
9.99,0.096,0.121,0.023,11.06,257.718,11.463,202,1.227,slowloris
11.763,0.085,0.084,0.034,13.123,324.405,15.04,146,1.942,slowloris
17.037,0.059,0.071,0.086,18.75,574.198,23.183,311,0.611,slowloris
9.827,0.101,0.087,0.025,11.443,275.215,11.747,113,2.063,slowloris
19.807,0.05,0.061,0.107,21.537,618.839,26.763,200,0.48,slowloris
7.45,0.134,0.138,0.021,9.257,278.001,8.243,85,0.68,slowloris
8.333,0.12,0.131,0.023,10.837,266.961,9.267,107,1.022,slowloris
10.17,0.098,0.094,0.026,12.207,262.129,11.117,195,1.074,slowloris
12.75,0.078,0.066,0.033,14.357,286.807,14.227,243,1.252,slowloris
8.063,0.124,0.097,0.022,9.863,280.024,9.183,144,1.428,slowloris
9.447,0.106,0.106,0.025,11.15,279.975,10.62,108,1.069,slowloris
10.387,0.083,0.07,0.028,12.32,279.973,11.997,132,1.183,slowloris
3.738,0.267,0.27,0.012,5.108,285.594,4.465,238,1.874,slowloris
1.507,0.663,0.669,0.007,3.087,293.598,2.08,89,6.713,slowloris
1.272,0.784,0.64,0.007,2.91,294.844,1.638,63,51.111,slowloris
1.572,0.636,0.635,0.007,3.185,292.365,2.045,83,30.18,slowloris
1.347,0.741,0.655,0.007,2.88,293.847,1.91,75,100.035,slowloris
1.365,0.731,0.688,0.01,4.182,294.786,1.662,84,150.335,slowloris
1.847,0.541,0.346,0.024,10.162,295.038,2.315,97,6.986,slowloris
3.968,0.252,0.196,0.032,12.797,309.364,4.643,159,3.042,slowloris
1.057,0.209,0.137,0.008,3.347,294.061,1.028,91,2.122,slowloris
2.533,0.394,0.257,0.029,12.297,295.488,2.577,73,1.091,slowloris
2.527,0.396,0.2,0.027,11.4,295.237,2.56,90,0.273,slowloris
1.77,0.566,0.404,0.026,11.007,296.053,2.233,87,0.468,slowloris
2.11,0.472,0.262,0.028,11.66,295.774,2.173,77,1.986,slowloris
1.59,0.627,0.312,0.024,10.08,296.701,1.773,80,0.938,slowloris
2.347,0.426,0.261,0.027,11.19,296.186,2.783,96,1.199,slowloris
2.473,0.403,0.264,0.028,11.833,293.103,3.03,93,1.407,slowloris
1.267,0.791,0.502,0.024,10.277,297.218,1.383,12,0.04,slowloris
1.473,0.678,0.319,0.025,10.54,297.161,1.14,67,300,slowloris
1.61,0.621,0.322,0.025,10.687,294.958,1.727,84,300,slowloris
1.8,0.556,0.324,0.025,10.597,297.209,1.967,71,0.691,slowloris
1.8,0.556,0.324,0.025,10.597,297.209,1.967,71,0.691,slowloris
1.473,0.68,0.339,0.023,9.857,294.863,1.363,77,300,slowloris
2.293,0.436,0.369,0.016,6.68,297.416,3.143,92,0.634,slowloris
1.493,0.668,0.596,0.007,3.03,296.096,1.943,103,0.831,slowloris
1.547,0.645,0.646,0.007,3.147,296.832,2.097,90,1.654,slowloris
1.46,0.683,0.618,0.007,3.017,297.067,2.067,79,0.418,slowloris
1.49,0.672,0.591,0.007,3.047,291.103,1.86,67,300,slowloris
1.44,0.693,0.612,0.007,2.973,296.601,1.793,73,0.028,slowloris
1.18,0.849,0.65,0.006,2.683,296.708,1.447,6,300,slowloris
2.223,0.117,0.084,0.006,2.607,273.767,2.16,84,1.416,slowloris
11.79,0.081,0.059,0.041,18.453,274.823,13.49,185,2.097,slowloris
18.7,0.053,0.056,0.092,26.653,430.983,24.89,278,0.604,slowloris
9.263,0.108,0.086,0.041,18.147,280.289,11.297,154,2.413,slowloris
9.467,0.106,0.096,0.041,18.127,281.616,9.997,107,1.28,slowloris
11.64,0.086,0.088,0.066,20.583,401.479,15.577,255,0.732,slowloris
9.413,0.106,0.082,0.042,18.393,284.999,10.93,139,1.906,slowloris
6.26,0.16,0.114,0.04,17.323,285.724,6.53,104,2.355,slowloris
7.29,0.137,0.11,0.038,16.29,289.78,8.627,104,1.838,slowloris
5.907,0.169,0.141,0.039,16.597,290.844,6.083,91,1.105,slowloris
6.37,0.157,0.13,0.039,17.36,282.167,6.46,96,0.855,slowloris
3.22,0.309,0.296,0.012,5.14,280.549,3.643,88,0.918,slowloris
2.747,0.364,0.367,0.014,6.13,287.87,3.403,90,1.668,slowloris
3.247,0.307,0.225,0.018,7.68,292.743,3.78,98,1.707,slowloris
3.27,0.305,0.212,0.023,9.527,295.394,3.527,92,2.719,slowloris
2.537,0.394,0.31,0.024,10.21,294.291,2.893,173,1.666,slowloris
1.443,0.694,0.34,0.022,9.343,297.869,1.333,62,1.116,slowloris
1.507,0.661,0.488,0.021,9.04,296.717,1.873,78,0.724,slowloris
1.217,0.817,0.501,0.02,8.25,298.17,1.16,70,0.037,slowloris
1.38,0.723,0.46,0.022,9.19,297.605,1.56,79,0.5,slowloris
1.633,0.612,0.335,0.024,10.25,296.818,1.653,75,300,slowloris
1.05,0.942,0.449,0.019,8.037,297.828,0.943,26,300,slowloris
1.343,0.745,0.597,0.02,8.387,297.266,1.64,75,300,slowloris
1.21,0.826,0.531,0.019,8.103,298.066,1.387,68,0.038,slowloris
1.047,0.929,0.448,0.017,6.957,297.665,0.98,74,300,slowloris
1.097,0.911,0.409,0.014,6.08,296.883,1.143,69,300,slowloris
0.46,2.149,1.548,0.008,3.193,298.236,0.507,6,150,slowloris
2.46,0.407,0.406,0.003,2.46,139,2.46,3,0.013,normal
2.532,0.407,0.406,0.003,2.532,139,2.532,3,0.013,normal
2.462,0.407,0.406,0.003,2.462,139,2.462,3,0.013,normal
2.523,0.407,0.406,0.003,2.523,139,2.523,3,0.013,normal
4.91,0.204,0.203,0.005,4.91,139,4.91,5,0.014,normal
4.923,0.204,0.203,0.005,4.927,139,4.927,5,0.014,normal
4.907,0.204,0.203,0.005,4.907,139,4.907,5,0.014,normal
8.382,0.12,0.119,0.009,8.382,139,8.382,9,0.026,normal
8.4,0.12,0.119,0.009,8.4,139,8.4,9,0.026,normal
4.927,0.203,0.382,0.005,4.927,139,4.927,6,0.014,normal
4.927,0.203,0.382,0.005,4.927,139,4.927,6,0.014,normal
4.92,0.203,0.39,0.005,4.92,139,4.92,6,0.014,normal
10.147,1.102,1.102,0.11,10.147,139,10.147,10,0.014,normal
9.52,0.102,0.102,0.011,9.52,139,9.52,10,0.013,normal
16.687,0.06,0.116,0.019,16.687,139,16.687,18,0.026,normal
1.51779,13.64,3.65,0.65,73,0.06,8.93,0,0,normal
7.39,0.136,0.375,0.008,7.39,139,7.39,9,0.015,normal
7.44,0.135,0.289,0.008,7.44,139,7.44,9,0.014,normal
7.39,0.135,0.343,0.008,7.39,139,7.39,9,0.014,normal
14.753,0.68,0.07,0.016,14.753,139,14.753,15,0.013,normal
14.729,0.68,0.07,0.016,14.729,139,14.729,15,0.013,normal
25.53,0.04,0.078,0.028,25.53,139,25.53,27,0.024,normal
24.974,0.04,0.095,0.028,24.974,139,24.974,27,0.025,normal
27.393,0.037,0.069,0.031,27.459,139,26.722,39,4.757,normal
9.849,0.102,0.356,0.011,9.849,139,9.849,12,0.015,normal
20.064,0.51,0.058,0.022,20.064,139,20.064,20,0.013,normal
33.628,0.03,0.075,0.037,33.628,139,33.628,36,0.024,normal
33.3,0.03,0.094,0.037,33.3,139,33.3,36,0.025,normal
33.511,0.03,0.094,0.037,33.517,139,33.514,40,0.025,normal
0.397,2.516,2.934,3.781,317.432,1488.803,0.483,8,107.143,normal
0.65,1.56,4.191,1.289,109.141,1476.826,0.832,45,45.212,normal
1.229,0.812,3.036,0.824,69.678,1477.936,1.852,54,70.098,normal
2.699,0.371,0.998,0.956,83.156,1436.866,3.801,86,77.766,normal
1.588,0.63,1.712,3.677,309.691,1484.182,2.365,51,73.884,normal
3.929,0.254,0.941,0.714,63.392,1407.946,5.831,98,101.748,normal
2.089,0.473,1.039,2.041,172.617,1477.681,2.751,63,93.866,normal
1.424,0.693,1.487,1.119,95.739,1460.919,1.919,117,125.66,normal
3.227,0.309,0.89,1.702,146.933,1447.239,4.555,120,59.99,normal
2.747,0.365,1.006,3.415,291.293,1465.524,3.787,79,46.639,normal
3.006,0.334,0.82,3.082,260.173,1480.566,4.091,111,110.275,normal
18.14,0.09,0.1,2.22,218.03,1274.04,11.77,145,0.559,normal
4,0.232,0.144,0.711,72.202,1231.362,1.289,62,1.673,normal
9.081,0.112,0.116,1.054,108.565,1213.348,7.015,102,0.621,normal
11.743,0.086,0.066,1.566,163.002,1201.023,7.59,115,0.744,normal
2.2,0.178,0.102,0.292,32.676,1115.737,1.215,47,0.75,normal
21.677,0.049,0.038,2.224,226.447,1227.696,15.212,99,0.47,normal
24.119,0.043,0.039,2.255,327.366,1239.531,17.237,137,29.958,normal
13.8,0.075,0.06,1.458,147.534,1235.659,8.364,130,0.736,normal
10.035,0.103,0.059,2.883,265.797,1355.615,2.451,71,0.958,normal
10.642,0.095,0.06,2.279,219.042,1300.614,4.518,82,0.815,normal
10.719,0.095,0.055,3.419,308.891,1383.752,2.81,108,0.746,normal
5.823,0.189,0.078,4.207,376.743,1395.931,3.498,66,1.1936,normal
6.691,0.152,0.069,3.458,311.511,1387.577,4.061,83,0.815,normal
7.321,0.138,0.067,1.533,143.556,1330.755,4.569,64,1.722,normal
11.045,0.091,0.062,1.877,177.814,1274.04,7.663,82,0.76,normal
9.223,0.111,0.065,2.604,237.068,1373.177,5.872,81,0.78,normal
9.595,0.107,0.068,2.072,194.503,1331.696,5.544,74,1.026,normal
10.485,0.097,0.058,2.931,265.365,1380.411,7.003,67,0.916,normal
6.236,0.163,0.045,3.137,293.28,1336.976,1.418,43,0.666,normal
11.209,0.09,0.075,1.527,150.278,1270.505,8.273,86,0.659,normal
7.444,0.134,0.107,1.298,124.102,1306.96,5.425,67,0.973,normal
12.857,0.079,0.064,2.286,219.215,1303.245,9.37,114,0.507,normal
5.452,0.194,0.1,1.867,175.03,1333.347,3.87,63,0.894,normal
3.852,0.27,0.134,0.832,82.91,1253.687,3.076,28,3.923,normal
5.442,0.188,0.104,1.001,100.536,1244.347,4.408,42,4.533,normal
4.769,0.213,0.118,1.106,108.025,1280.177,3.61,62,1.908,normal
3.001,0.344,0.193,1.33,122.887,1352.936,2.264,52,2.184,normal
1.929,0.344,0.193,0.855,78.999,1352.936,4.446,87,1.663,normal
14.477,0.074,0.024,2.664,270.682,1230.352,9.985,69,1.435,normal
7.602,0.135,0.0729,1.482,144.447,1282.578,5.406,56,1.764,normal
7.288,0.139,0.081,1.177,119.354,1232.812,5.716,58,1.634,normal
9.006,0.112,0.062,1.831,173.561,1318.357,6.291,69,1.131,normal
7.288,0.139,0.069,2.285,212.292,1345.302,4.848,83,2.153,normal
7.905,0.127,0.077,2.082,197.785,1315.715,5.371,67,1.287,normal
12.708,0.078,0.043,2.195,207.886,1319.55,8.51,93,1.994,normal
10.399,0.098,0.048,1.202,117.888,1274.754,7.911,58,3.754,normal
13.525,0.075,0.044,3.184,290.296,1371.106,8.956,73,2.221,normal
5.043,0.202,0.097,0.712,70.178,1268.477,3.51,82,4.73,normal
8.908,0.114,0.062,1.805,170.383,1324.567,5.394,78,1.557,normal
7.08,0.156,0.089,1.485,140.488,1321.176,5.367,54,1.568,normal
6.612,0.152,0.086,1.725,162.431,1327.63,4.6,74,1.4,normal
1.62,1.109,0.918,0.149,17.925,1035.823,1.613,7,0.04,normal
1.3,0.787,0.706,0.153,15.727,1217.645,0.953,14,0.036,normal
6.264,0.412,0.311,0.76,77.412,1227.916,3.329,41,0.022,normal
1.62,1.109,0.918,0.149,17.925,1035.823,1.613,7,0.04,normal
1.136,0.882,0.758,0.038,6.293,745.685,1.073,12,0.047,normal
2.336,0.887,0.703,0.153,20.679,925.817,2.028,10,0.054,normal
2.404,0.426,0.343,0.152,19.896,952.86,2.128,35,0.017,normal
1.332,0.779,0.539,0.149,19.32,966.176,1.088,22,0.013,normal
0.939,1.191,1.018,0.031,7.786,494.236,1.109,16,9.656,normal
1,0.936,1.253,0.004,1,469.167,1.5,4,0.003,normal
2.58,14.923,5.714,0.336,31.463,1334.135,2.406,35,0.285,normal
2.664,4.143,2.659,0.751,68.346,1372.722,2.155,45,0.156,normal
6.36,6.752,17.619,1.362,126.15,1349.569,5.129,70,0.146,normal
0.27,149.538,44.5434,0.093,8.422,1385.379,0.227,35,0.34,normal
0.043,967.575,223.035,0.013,1.156,1364.239,0.044,4,0.606,normal
0.038,1083.206,237.484,0.004,0.436,1267.099,0.036,4,0.499,normal
0.01,1030.917,215.638,0.001,0.13,1288.478,0.01,4,0.395,normal
6.264,0.412,0.311,0.76,77.412,1227.916,3.329,41,0.022,normal
0.399,3.506,5.082,0.018,1.94,1168.494,0.344,43,0.061,normal
5.033,2.132,1.896,0.314,32.546,1206.387,4.731,53,0.208,normal
0.231,183.725,42.685,0.028,2.739,1282.604,0.199,23,0.368,normal
0.041,1031.494,211.495,0.013,1.195,1373.807,0.034,6,0.283,normal
0.445,95.962,24.263,0.225,20.17,1393.511,0.317,22,0.121,normal
0.05,7.747,6.521,0.005,0.575,1148.609,0.042,2,0.292,normal
1.533,27.184,8.785,1.701,150.463,1413.152,1.124,43,0.235,normal
0.018,554.015,124.088,0.046,4.004,1420.727,0.01,13,0.373,normal
5,0.034,0.028,0.237,25,1186.48,5,5,0.006,normal
0.447,64.387,24.897,1.124,98.934,1419.84,0.359,27,0.208,normal
2.349,5.03,15.22,0.728,66.805,1362.783,1.905,50,0.254,normal
6.1,0.203,0.225,1.521,138.25,1375.009,3.05,17,0.061,normal
1.3,0.787,0.706,0.153,15.727,1217.645,0.953,14,0.036,normal
3.923,10.852,42.189,1.245,112.59,1382.606,3.146,62,0.138,normal
1.839,22.998,30.905,1.111,100.491,1382.357,1.384,57,0.237,normal
0.008,569.977,200.004,0.001,0.108,1289.813,0.009,5,3.427,normal
1.165,35.832,15.655,1.801,158.968,1415.785,0.984,32,0.302,normal
1.62,1.109,0.918,0.149,17.925,1035.823,1.613,7,0.04,normal
5.033,2.132,1.896,0.314,32.546,1206.387,4.731,53,0.208,normal
0.231,183.725,42.685,0.028,2.739,1282.604,0.199,23,0.368,normal
0.041,1031.494,211.495,0.013,1.195,1373.807,0.034,6,0.283,normal
0.445,95.962,24.263,0.225,20.17,1393.511,0.317,22,0.121,normal
0.05,7.747,6.521,0.005,0.575,1148.609,0.042,2,0.292,normal
1.533,27.184,8.785,1.701,150.463,1413.152,1.124,43,0.235,normal
0.018,554.015,124.088,0.046,4.004,1420.727,0.01,13,0.373,normal
5,0.034,0.028,0.237,25,1186.48,5,5,0.006,normal
0.447,64.387,24.897,1.124,98.934,1419.84,0.359,27,0.208,normal
2.349,5.03,15.22,0.728,66.805,1362.783,1.905,50,0.254,normal
6.1,0.203,0.225,1.521,138.25,1375.009,3.05,17,0.061,normal
0.088,13.017,12.446,0.015,1.4,1356.929,0.05,2,0.215,normal
3.923,10.852,42.189,1.245,112.59,1382.606,3.146,62,0.138,normal
1.839,22.998,30.905,1.111,100.491,1382.357,1.384,57,0.237,normal
0.008,569.977,200.004,0.001,0.108,1289.813,0.009,5,3.427,normal
1.165,35.832,15.655,1.801,158.968,1415.785,0.984,32,0.302,normal
1.62,1.109,0.918,0.149,17.925,1035.823,1.613,7,0.04,normal
2.692,0.708,0.598,0.356,31.923,1393.062,2.154,10,0.118,normal
0.027,3.205,0.298,1.568,144.308,1358.199,0.031,5,0.551,normal
2,0.694,0.472,0.022,2,1405,1.5,2,0.107,normal
0.38,4.051,4.02,0.059,6.38,1164.097,0.44,5,0.07,normal
1.9,1.755,4.269,0.108,10.3,1316.471,1.7,17,0.048,normal
6.05,0.194,0.129,0.191,19.45,1230.99,6.15,27,0.49,normal
1.775,0.671,0.34,0.106,10.55,1261.54,1.65,15,0.172,normal
6.067,0.208,0.27,0.463,43.867,1320.084,5.733,31,0.161,normal
0.03,42.854,3.373,0.001,0.03,252,0.015,1,37.016,normal
0.07,13.976,0.139,0.001,0.07,252,0.047,2,32.443,normal
